fichier,taille_mo,duree_s,titre_metadata,statut,raison,priorite
V32.mp4,48.16,1153.15,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 19 Le Delta -Nouvelle Vidéo-.mp4',
V35.mp4,48.7,1151.15,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 19 Le Delta -Nouvelle Vidéo-.mp4',
V9.mp4,49.95,1486.05,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 27  Analyse des marchés PART 3.mp4',
lecon 11 - part 2.mov,874.09,540.78,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 34 - Part 2.mov',
lecon 11 - part 3.mov,926.73,573.24,,DOUBLON_INTERNE,meme duree (+/-5s) que 'V14.mp4',
lecon 18.mov,696.68,536.83,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 34 - Part 2.mov',
lecon 3.mov,1366.95,480.39,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 10 - part 2.mov',
lecon 4.mov,1290.87,454.23,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
lecon 6.mov,533.55,188.83,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 15 - part 1.mov',
lecon 7.mov,1481.97,516.72,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 20.mov',
